"country","region","happiness_rank","happiness_score","standard_error","gdp_per_capita","family","life_expectancy","freedom","trust_government","generosity","dystopia_residual","year"
"Finland",NA,1,7.769,NA,1.34,1.587,0.986,0.596,0.393,0.153,NA,2019
"Denmark",NA,2,7.6,NA,1.383,1.573,0.996,0.592,0.41,0.252,NA,2019
"Norway",NA,3,7.554,NA,1.488,1.582,1.028,0.603,0.341,0.271,NA,2019
"Iceland",NA,4,7.494,NA,1.38,1.624,1.026,0.591,0.118,0.354,NA,2019
"Netherlands",NA,5,7.488,NA,1.396,1.522,0.999,0.557,0.298,0.322,NA,2019
"Switzerland",NA,6,7.48,NA,1.452,1.526,1.052,0.572,0.343,0.263,NA,2019
"Sweden",NA,7,7.343,NA,1.387,1.487,1.009,0.574,0.373,0.267,NA,2019
"New Zealand",NA,8,7.307,NA,1.303,1.557,1.026,0.585,0.38,0.33,NA,2019
"Canada",NA,9,7.278,NA,1.365,1.505,1.039,0.584,0.308,0.285,NA,2019
"Austria",NA,10,7.246,NA,1.376,1.475,1.016,0.532,0.226,0.244,NA,2019
"Australia",NA,11,7.228,NA,1.372,1.548,1.036,0.557,0.29,0.332,NA,2019
"Costa Rica",NA,12,7.167,NA,1.034,1.441,0.963,0.558,0.093,0.144,NA,2019
"Luxembourg",NA,14,7.09,NA,1.609,1.479,1.012,0.526,0.316,0.194,NA,2019
"United Kingdom",NA,15,7.054,NA,1.333,1.538,0.996,0.45,0.278,0.348,NA,2019
"Ireland",NA,16,7.021,NA,1.499,1.553,0.999,0.516,0.31,0.298,NA,2019
"Germany",NA,17,6.985,NA,1.373,1.454,0.987,0.495,0.265,0.261,NA,2019
"Belgium",NA,18,6.923,NA,1.356,1.504,0.986,0.473,0.21,0.16,NA,2019
"United States",NA,19,6.892,NA,1.433,1.457,0.874,0.454,0.128,0.28,NA,2019
"Czech Republic",NA,20,6.852,NA,1.269,1.487,0.92,0.457,0.036,0.046,NA,2019
"United Arab Emirates",NA,21,6.825,NA,1.503,1.31,0.825,0.598,0.182,0.262,NA,2019
"Malta",NA,22,6.726,NA,1.3,1.52,0.999,0.564,0.151,0.375,NA,2019
"Mexico",NA,23,6.595,NA,1.07,1.323,0.861,0.433,0.073,0.074,NA,2019
"France",NA,24,6.592,NA,1.324,1.472,1.045,0.436,0.183,0.111,NA,2019
"Taiwan",NA,25,6.446,NA,1.368,1.43,0.914,0.351,0.097,0.242,NA,2019
"Chile",NA,26,6.444,NA,1.159,1.369,0.92,0.357,0.056,0.187,NA,2019
"Guatemala",NA,27,6.436,NA,0.8,1.269,0.746,0.535,0.078,0.175,NA,2019
"Saudi Arabia",NA,28,6.375,NA,1.403,1.357,0.795,0.439,0.132,0.08,NA,2019
"Qatar",NA,29,6.374,NA,1.684,1.313,0.871,0.555,0.167,0.22,NA,2019
"Spain",NA,30,6.354,NA,1.286,1.484,1.062,0.362,0.079,0.153,NA,2019
"Panama",NA,31,6.321,NA,1.149,1.442,0.91,0.516,0.054,0.109,NA,2019
"Brazil",NA,32,6.3,NA,1.004,1.439,0.802,0.39,0.086,0.099,NA,2019
"Uruguay",NA,33,6.293,NA,1.124,1.465,0.891,0.523,0.15,0.127,NA,2019
"Singapore",NA,34,6.262,NA,1.572,1.463,1.141,0.556,0.453,0.271,NA,2019
"El Salvador",NA,35,6.253,NA,0.794,1.242,0.789,0.43,0.074,0.093,NA,2019
"Italy",NA,36,6.223,NA,1.294,1.488,1.039,0.231,0.03,0.158,NA,2019
"Bahrain",NA,37,6.199,NA,1.362,1.368,0.871,0.536,0.11,0.255,NA,2019
"Slovakia",NA,38,6.198,NA,1.246,1.504,0.881,0.334,0.014,0.121,NA,2019
"Trinidad & Tobago",NA,39,6.192,NA,1.231,1.477,0.713,0.489,0.016,0.185,NA,2019
"Poland",NA,40,6.182,NA,1.206,1.438,0.884,0.483,0.05,0.117,NA,2019
"Uzbekistan",NA,41,6.174,NA,0.745,1.529,0.756,0.631,0.24,0.322,NA,2019
"Lithuania",NA,42,6.149,NA,1.238,1.515,0.818,0.291,0.042,0.043,NA,2019
"Colombia",NA,43,6.125,NA,0.985,1.41,0.841,0.47,0.034,0.099,NA,2019
"Slovenia",NA,44,6.118,NA,1.258,1.523,0.953,0.564,0.057,0.144,NA,2019
